餅乾,Cookie,重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
巧克力豆,Chocolate Chip,45,209,10.3,5.4,0.1,29,18,2,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
葡萄燕麥,Oatmeal Raisin,45,190,6.9,3.4,0.0,29,17,3,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
濃巧克力,Double Chocolate Chip,45,197,9.2,5.2,0.1,28,19,2,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
白巧克力夏威夷豆,White Chip Macadamia Nut,45,217,10.8,5.3,0.1,28,17,2,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
