品牌,食物名,食用量,熱量,蛋白質,脂肪,碳水化合物,資料來源,更新時間
Subway,餅乾,一份,200,3,8.0,13,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,薯片(1包),一份,130-340,0-7,0-22,13-36,http://www.twsubway.com.tw/GoWeb2/include/,20190101
