品牌,食物名,食用量,熱量,蛋白質,脂肪,碳水化合物,資料來源,更新時間
Subway,瓶裝果汁/冷飲,一份,0-100,0,0.0,54-68,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,可口可樂®(去冰),一份,260,3,1.5,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,健怡可口可樂®(去冰),一份,100,0,1.5,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,雪碧®(去冰),一份,260,0,0.0,68,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,義式番茄湯(8oz/碗),一份,140,5,7.0,15,http://www.twsubway.com.tw/GoWeb2/include/,20190101
