164,5.7,6,3.5,0,21,17,74,橘香巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
235,6.9,7.6,4.4,0,34,27,96,冰橘香巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
11,0.7,0.0,0.0,0,2,0,7,冰美式咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
84,0.4,0,0,0,19,18,46,椰汁冰搖濃縮咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
377,4.9,14.8,9.5,0,56,54,179,草莓抹茶星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
2,0.3,0.1,0,0,0,0,9,冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
314,4,11,7.1,0,49,46,230,米花索(Me Fa So)星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
442,5.8,21,16.3,0,57,54,222,草莓YES!星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
84,1.5,0,0,0,19.5,16.8,19,綠色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
73.2,2.1,0,0,0,16.2,15,176,紅色蔬菜綜合果汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
396,5.1,15.2,8.8,0,60,52,220,棉花糖餅乾風味星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
412,5.4,14.8,9.3,0,64,62,181,茶&茶星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
318,3.9,9.5,5.7,0,53,50,170,愛爾蘭布丁咖啡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
105,5.5,5.1,3.0,0,9,8,69,濃粹那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
132,7.1,6.9,4.3,0,11,10,105,黃金烘焙馥郁那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
119,6.4,6.1,3.8,0,10,9,99,冰黃金烘焙馥郁那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
375,5.9,6.4,3.9,0.0,72,66,203,巴西莓優格星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
