Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
362.0,6.8,14.7,8.8,0.0,50.0,45.0,0.262,冰海鹽焦糖摩卡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰海鹽焦糖摩卡
239.0,6.2,11.5,6.9,0.0,27.0,20.0,0.093,栗香松露白巧克力咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_栗香松露白巧克力咖啡
303.0,6.6,14.9,9.1,0.0,35.0,26.0,0.112,冰栗香松露白巧克力咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰栗香松露白巧克力咖啡
234.0,6.5,10.75,5.4,0.0,28.0,24.0,0.0885,黃金芝麻豆奶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_黃金芝麻豆奶那堤
294.5,7.5,13.5,6.6,0.0,36.0,32.0,0.1035,冰黃金芝麻豆奶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰黃金芝麻豆奶那堤
402.0,11.3,20.5,10.2,0.0,46.0,40.0,0.105,濃情愛戀巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_濃情愛戀巧克力
143.0,5.1,5.0,2.9,0.0,19.0,16.0,0.076,大溪地香草瑪奇朵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_大溪地香草瑪奇朵
195.0,6.6,6.5,3.8,0.0,27.0,24.0,0.103,冰大溪地香草瑪奇朵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰大溪地香草瑪奇朵
164.0,5.7,6.0,3.5,0.0,21.0,17.0,0.074,橘香巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_橘香巧克力卡布奇諾
235.0,6.9,7.6,4.4,0.0,34.0,27.0,0.096,冰橘香巧克力卡布奇諾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰橘香巧克力卡布奇諾
11.0,0.7,0.0,0.0,0.0,2.0,0.0,0.007,冰美式咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_冰美式咖啡
