Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
100.0,501.0,7.8,22.9,15.9,0.0,66.0,32.0,0.148,法式薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_法式薄餅
100.0,536.0,5.4,30.1,17.7,0.2,60.9,33.4,0.279,星巴克咖啡捲心酥,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克咖啡捲心酥
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,啤酒肉條禮盒,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_啤酒肉條禮盒
184.0,456.0,18.4,23.2,5.9,0.0,43.6,2.5,0.843,田園雞肉帕里尼,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_田園雞肉帕里尼
170.0,423.0,20.6,17.3,4.6,0.0,46.4,1.3,0.833,招牌火腿起司帕里尼,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_招牌火腿起司帕里尼
140.0,402.0,13.6,5.5,3.2,0.0,74.6,7.7,0.617,牛奶蜂蜜吐司,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_牛奶蜂蜜吐司
158.0,156.0,1.4,12.2,2.3,0.0,10.3,0.0,0.1719,自然農法鳳梨乾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_自然農法鳳梨乾
167.0,407.0,18.2,15.4,3.8,0.0,49.1,5.0,0.827,墨西哥風香辣三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_墨西哥風香辣三明治
220.0,496.0,18.9,16.1,6.9,0.0,68.9,6.6,1.086,經典總匯三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_經典總匯三明治
650.0,2184.0,37.1,146.3,130.7,0.0,179.4,77.9,0.813,芒果乳酪夏洛特蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_芒果乳酪夏洛特蛋糕
