重量,熱量,蛋白質,脂肪,飽和脂肪,反式脂肪,碳水化合物,糖,鈉,食物名,品牌,資料來源,更新時間,食用量
220.0,496.0,18.9,16.1,6.9,0.0,68.9,6.6,1086.0,經典總匯三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
650.0,2184.0,37.1,146.3,130.7,0.0,179.4,77.9,813.0,芒果乳酪夏洛特蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
127.0,135.0,4.2,8.5,3.4,0.0,10.2,9.1,117.0,樂活沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
119.0,338.0,12.9,3.7,2.7,0.0,63.3,13.2,544.0,農夫麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
470.0,1499.0,30.1,78.5,34.8,0.0,168.3,125.0,367.0,黑森林蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
184.0,134.0,1.8,8.3,1.3,0.0,12.9,8.6,114.0,LOHAS蔬果棒,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
105.0,231.0,11.2,8.7,2.0,0.0,27.0,3.0,415.0,雙菇烘蛋堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90.0,353.0,4.2,19.9,13.1,0.4,33.7,21.3,298.0,巧克力麥芬,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,536.0,11.0,48.0,30.0,0.0,15.0,10.0,20.0,Starbucks 88% 黑巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,467.0,4.1,19.7,11.3,0.1,68.4,31.5,251.0,比利時焦糖煎餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
40.0,419.0,1.2,9.2,8.7,0.0,82.9,63.5,101.0,耶誕抱枕(牛奶糖),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
450.0,1404.0,19.4,70.7,65.7,1.8,172.4,81.9,207.0,六吋檸檬塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
77.0,383.0,0.6,0.4,0.2,0.0,94.2,67.2,2.0,耶誕襪水果軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
42.0,523.0,7.3,31.3,19.9,0.0,53.0,38.3,31.0,佛羅娜巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
45.0,569.0,11.7,38.1,24.1,0.0,44.8,21.8,8.0,77%巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
50.0,455.0,4.7,19.1,11.9,0.0,66.0,51.4,18.0,橘條巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
60.0,550.0,5.8,33.3,17.1,0.0,56.9,22.6,25.0,巧克力洋芋片,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,545.0,4.9,31.2,18.1,0.0,61.1,43.7,72.0,耶誕花圈(榛果巧克力),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90.0,48.0,0.2,0.0,0.0,0.0,11.7,9.0,2.0,綜合果泥,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
95.0,388.0,11.0,25.9,12.2,1.0,27.6,6.2,521.0,起司牛肉可頌,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
163.0,329.0,20.5,11.7,3.1,0.0,35.5,1.8,792.0,香料烤雞三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
84.0,312.0,4.5,18.1,11.5,0.0,32.8,5.0,111.0,藍莓乳酪塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
446.0,1597.0,24.1,84.7,50.0,0.0,184.6,63.3,571.0,6 吋藍莓乳酪塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,288.0,12.6,9.5,2.7,0.0,38.0,1.8,549.0,乳酪燻腸巧巴達,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
55.0,244.0,4.7,11.3,5.7,0.1,30.7,10.0,50.0,蔓越莓鬆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
65.0,215.0,3.1,8.0,5.3,0.1,32.5,14.6,156.0,蔓越莓卡士達丹麥捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
107.0,196.0,5.8,8.4,2.0,0.0,24.2,6.7,178.0,地瓜堅果三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
60.0,528.0,6.1,28.5,18.1,0.1,61.9,59.6,83.0,星巴克金幣巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
20.0,83.0,0.2,0.9,0.6,0.0,18.6,12.0,7.0,焦糖咖啡棒棒糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,星巴克星願桶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,星巴克蝴蝶酥,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
5.0,18.4,0.2,0.1,0.0,0.0,4.3,2.8,1.0,迷你煎蛋軟糖(香草橘子風味),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
115.0,279.0,8.9,10.2,7.9,0.0,44.5,15.3,478.0,原味現烤鬆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
170.0,83.0,0.8,0.2,0.0,0.0,19.9,15.3,10.0,樂活水果杯,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
175.0,351.0,21.0,6.3,3.5,0.0,52.3,0.0,651.0,法式芥茉雞肉三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90.0,319.0,10.2,18.7,12.7,0.3,27.4,9.9,202.0,香草蘋果巧酥,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,250.0,9.5,9.7,2.5,0.0,31.4,8.2,293.0,黑麥鮪魚三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
95.0,51.0,1.2,0.8,0.2,0.0,9.9,8.0,21.0,萵苣鮮沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
171.0,328.0,12.5,12.5,2.6,0.0,41.6,0.0,833.0,炸雞青蔬捲餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,327.0,8.5,7.3,4.6,0.1,56.6,11.2,528.0,蔓越莓乳酪麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,458.0,6.4,29.9,9.0,0.3,40.8,21.2,454.0,黑巧克力乳酪麥芬,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,312.0,9.1,7.0,4.7,0.0,53.3,12.8,385.0,葡萄乾起司貝果,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
60.0,304.0,5.2,17.3,9.4,0.1,31.9,11.9,202.0,三重奏餅乾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
5.0,18.0,0.3,0.1,0.0,0.0,4.0,2.5,1.0,QQ熊軟糖(零錢包),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
0.9,4.0,0.01,0.01,0.01,0.0,0.9,0.0,0.0,星巴克薄荷糖(檸檬萊姆風味),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
36.0,170.0,3.8,6.0,3.0,0.0,24.9,2.4,34.0,巧克力義大利脆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
36.0,171.0,3.7,6.0,2.9,0.0,25.6,3.5,35.0,焦糖義大利脆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
600.0,1584.0,27.0,72.6,36.6,1.2,205.2,78.0,330.0,6吋紫薯蒙布朗薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
650.0,2041.0,37.1,147.6,59.8,2.0,141.7,107.3,358.0,6吋草莓布蕾蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
500.0,1345.0,24.0,81.0,71.5,0.0,130.0,89.5,510.0,六吋提拉米蘇,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
155.0,332.0,20.0,10.7,2.6,0.0,38.8,4.6,761.0,照燒雞肉三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
550.0,1700.0,27.5,96.3,52.8,0.6,181.0,104.0,385.0,長條黑糖栗子蒙布朗,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,240.0,11.3,5.4,1.3,0.0,36.6,2.8,1199.0,辣雞起司薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
