品牌,食物名,食用量,熱量,蛋白質,脂肪,碳水化合物,資料來源,更新時間
Subway,大黃瓜(3片),一份,5,0,0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,青椒(3條),一份,0,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,墨西哥辣椒(3片),一份,5,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,生菜,一份,5,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,洋蔥,一份,5,0,0,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,酸黃瓜,一份,0,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,黑橄欖(3片),一份,5,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,番茄(3片),一份,5,0,0,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101
