167,407,18.2,15.4,3.8,0,49.1,5,827,墨西哥風香辣三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
220,496,18.9,16.1,6.9,0,68.9,6.6,1086,經典總匯三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
650,2184,37.1,146.3,130.7,0,179.4,77.9,813,芒果乳酪夏洛特蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
127,135,4.2,8.5,3.4,0,10.2,9.1,117,樂活沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
119,338,12.9,3.7,2.7,0,63.3,13.2,544,農夫麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
470,1499,30.1,78.5,34.8,0,168.3,125.0,367,黑森林蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
184,134,1.8,8.3,1.3,0,12.9,8.6,114,LOHAS蔬果棒,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
105,231,11.2,8.7,2,0,27,3,415,雙菇烘蛋堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90,353,4.2,19.9,13.1,0.4,33.7,21.3,298,巧克力麥芬,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100,536.0,11.0,48.0,30.0,0.0,15.0,10.0,20,Starbucks 88% 黑巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100,467,4.1,19.7,11.3,0.1,68.4,31.5,251,比利時焦糖煎餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
40,419,1.2,9.2,8.7,0,82.9,63.5,101,耶誕抱枕(牛奶糖),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
450,1404,19.4,70.7,65.7,1.8,172.4,81.9,207,六吋檸檬塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
77,383,0.6,0.4,0.2,0,94.2,67.2,2,耶誕襪水果軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
42,523,7.3,31.3,19.9,0,53.0,38.3,31,佛羅娜巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
45,569,11.7,38.1,24.1,0,44.8,21.8,8,77%巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
50,455,4.7,19.1,11.9,0.0,66.0,51.4,18,橘條巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
60,550,5.8,33.3,17.1,0,56.9,22.6,25,巧克力洋芋片,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
