Brand,Name,Portions,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Na_g,Cho_g,Resource,UpdateTime,BraName
MOS BURGER,歐式經典磅蛋糕-巧克力口味,一份,206  ,3.6  ,8.6  ,4.4  ,0.7  ,0.114,28.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_歐式經典磅蛋糕-巧克力口味
MOS BURGER,玉米濃湯,一份,78  ,1.4  ,3.0  ,0.3  ,0.1  ,0.471,11.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_玉米濃湯
MOS BURGER,鮮菇濃湯,一份,79  ,1.7  ,3.3  ,0.1  ,0  ,0.8075,10.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_鮮菇濃湯
MOS BURGER,蜂蜜檸檬蒟蒻,一份,97  ,0  ,0  ,0  ,0  ,0.044,24.3  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_蜂蜜檸檬蒟蒻
MOS BURGER,葡萄蒟蒻,一份,103  ,0  ,0  ,0  ,0  ,0.03,25.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_葡萄蒟蒻
MOS BURGER,熱摩斯咖啡,一份,3.6  ,0.2  ,0  ,0  ,0  ,0.001,0.7  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱摩斯咖啡
MOS BURGER,冰摩斯咖啡,一份,4.2  ,0.23  ,0  ,0  ,0  ,0.001,0.81  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰摩斯咖啡
MOS BURGER,熱摩斯奶茶,一份,153.1  ,8.4  ,8.3  ,4.9  ,0  ,0.1274,11.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱摩斯奶茶
MOS BURGER,熱拿鐵咖啡(M),一份,124.4  ,6.6  ,6.5  ,4  ,0  ,0.122,9.9  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱拿鐵咖啡(M)
MOS BURGER,冰拿鐵咖啡(M),一份,118.7  ,6.3  ,6.1  ,3.8  ,0  ,0.116,9.6  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰拿鐵咖啡(M)
MOS BURGER,熱卡布奇諾,一份,120.4  ,6.3  ,6.1  ,3.8  ,0  ,0.117,10  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_熱卡布奇諾
MOS BURGER,冰紅茶(M),一份,89  ,0  ,0  ,0  ,0  ,0.0,22.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰紅茶(M)
MOS BURGER,冰紅茶(L),一份,109  ,0  ,0  ,0  ,0  ,0.0,27.3  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_冰紅茶(L)
MOS BURGER,早餐冰咖啡(M),一份,49  ,0  ,0  ,0  ,0  ,0.0003,12.7  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_早餐冰咖啡(M)
MOS BURGER,早餐冰咖啡(L),一份,67  ,0  ,0  ,0  ,0  ,0.0003,17.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_早餐冰咖啡(L)
