品牌,食物名,食用量,熱量,蛋白質,脂肪,飽和脂肪,反式脂肪,鈉,碳水化合物,資料來源,更新時間
MOS BURGER,金磚蝦餅,一份,262.1 Kcal,3.8 g,19.4 g,4.5 g,0 g, 386 mg ,18.1 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,野莓果粒蒟蒻冰茶,一份,225.8 Kcal,1.1 g,0.1 g,0 g,0 g, 7 mg ,55.4 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,法蘭克熱狗,一份,158 Kcal,9.5 g,10.4 g,0.6 g,0 g, 531.7 mg ,6.5 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,野莓果粒蒟蒻舒打,一份,277.6 Kcal,1.1 g,0.1 g,0.0 g,0.0 g, 61.1 mg ,68.4 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,冰檸摩斯咖啡,一份,160.6 Kcal,0.9 g,0.2 g,0 g,0 g, 2 mg ,38.8 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,北海道可樂餅,一份,176 Kcal,2.4 g,9.5 g,0 g,0 g, 235.9 mg ,18.0 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,鳳梨奇異果蒟蒻冰茶,一份,237.9 Kcal,0.5 g,0.2 g,0.1 g,0 g, 7 mg ,58.8 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,鳳梨奇異果蒟蒻舒打,一份,291.6 Kcal,0.5 g,0.2 g,0.1 g,0 g, 35 mg ,72.3 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,稻香戚風米慕斯,一份,220.9 Kcal,7.4 g,10.1 g,5 g,0 g, 150.7 mg ,25.1 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,花心雞球薯餅組,一份,334 Kcal,12.1 g,23.6 g,7.4 g,0.1 g, 773 mg ,18.2 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,芒果蒟蒻,一份,118.9 Kcal,0 g,0.4 g,0 g,0 g, 61 mg ,28.9 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,冰萃檸檬綠茶,一份,153.6 Kcal,0.2 g,0.2 g,0 g,0 g, 2 mg ,37.8 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,薯條(L),一份,446 Kcal,4 g,21.4 g,5 g,0 g, 69.0 mg ,44.0 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,和風雞腿塊,一份,275.8 Kcal,18 g,17.3 g,6.3 g,0 g, 640.8 mg ,12 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,柚子冰茶,一份,261.4 Kcal,0.6 g,0 g,0 g,0 g, 12 mg ,64.8 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,雙醬和風薯條,一份,567 Kcal,5.8 g,39.8 g,10 g,0.2 g, 758 mg ,51.4 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,歐式經典磅蛋糕-英式水果口味,一份,184 Kcal,2.5 g,6.4 g,3.8 g,0.8 g, 97 mg ,29 g,http://www.mos.com.tw/index.aspx,20190101
MOS BURGER,歐式經典磅蛋糕-巧克力口味,一份,206 Kcal,3.6 g,8.6 g,4.4 g,0.7 g, 114 mg ,28.5 g,http://www.mos.com.tw/index.aspx,20190101
