品牌,食物名,食用量,重量,熱量,蛋白質,脂肪,碳水化合物,資料來源,更新時間
Subway,黑橄欖(3片),一份,3,5,0,0,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,番茄(3片),一份,34,5,0,0,2,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,瓶裝果汁/冷飲,一份,15,0-100,0,0,54-68,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,可口可樂?(去冰),一份,21,260,3,1.5,0,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,健怡可口可樂?(去冰),一份,21,100,0,1.5,1,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,雪碧?(去冰),一份,21,260,0,0,68,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,義式番茄湯(8oz/碗),一份,8,140,5,7,15,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,餅乾,一份,45,200,3,8,13,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,薯片(1包),一份,25-57,130-340,0-7,0-22,13-36,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,起司蛋,一份,174,360,19,12,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火腿蛋,一份,202,390,24,13,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,培根蛋,一份,183,410,23,16,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,牛排蛋,一份,216,430,28,15,47,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火腿,一份,216,290,18,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,香烤雞肉,一份,230,320,23,5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,燒烤牛肉,一份,230,320,25,5,45,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,百味俱樂部,一份,237,310,23,4.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,照燒雞肉,一份,266,370,25,4,58,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,嫩切雞肉,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞胸肉,一份,216,280,18,3.5,46,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞火腿,一份,216,340,17,3.5,43,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,素食蔬菜,一份,160,230,8,2.5,44,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火腿,一份,340,110,12,3,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,香烤雞肉,一份,354,140,19,2.5,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,燒烤牛肉,一份,354,140,19,3.5,11,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,百味俱樂部,一份,361,140,18,3.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,照燒雞肉,一份,411,230,20,3,32,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,嫩切雞肉,一份,340,110,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞胸肉,一份,340,110,12,2.5,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,火雞火腿,一份,340,110,12,2,12,http://www.twsubway.com.tw/GoWeb2/include/,20190101
Subway,素食蔬菜,一份,284,60,3,1,10,http://www.twsubway.com.tw/GoWeb2/include/,20190101
